PROCESO,AMBITO,ESTADO ELECCION,SUBNIVEL ENTIDAD,CARGO,TIPO ASOCIACION,SUJETO OBLIGADO,SIGLAS,NOMBRE COMPLETO,FECHA INICIO PROCESO,FECHA FIN PROCESO,FECHA HORA APROBACION,ESTATUS CONTABILIDAD,FECHA HORA CANCELACION,TOPE DE GASTOS,DIFERENCIA POR PRORRATEO,FINANCIEROS,OPERATIVOS DE LA CAMPAÑA,PRODUCCIÓN DE LOS MENSAJES PARA RADIO Y T.V.,PROPAGANDA,"PROPAGANDA EN DIARIOS, REVISTAS Y OTROS MEDIOS IMPRESOS",PROPAGANDA EN VÍA PÚBLICA,PROPAGANDA EXHIBIDA EN PÁGINAS DE INTERNET,PROPAGANDA UTILITARIA,TOTAL GASTOS
PREFO-CAM-20/21,FEDERAL,MEXICO,Distrito 11-ECATEPEC DE MORELOS,DIPUTACION FEDERAL MR,C,PARTIDO ACCIÓN NACIONAL,PAN,RAUL ANGEL OTERO DIAZ,04/04/2021,02/06/2021,16/04/2021 07:52:02 p.m.,ACTIVO,,1648189,,,75839.12,21146.66,52904.56,,385203.98,80309.48,,615403.8
PREFO-CAM-20/21,FEDERAL,MEXICO,Distrito 25-CHIMALHUACAN,DIPUTACION FEDERAL MR,C,PARTIDO ACCIÓN NACIONAL,PAN,GUADALUPE MERINO TRUJILLO,04/04/2021,02/06/2021,05/04/2021 11:33:35 p.m.,ACTIVO,,1648189,,,74236,21146.66,191648.88,,,329413.48,55390,671835.02
PREFO-CAM-20/21,FEDERAL,MEXICO,Distrito 30-CHIMALHUACAN,DIPUTACION FEDERAL MR,C,PARTIDO ACCIÓN NACIONAL,PAN,MAURICIO PIÑA VALDES,04/04/2021,02/06/2021,05/04/2021 11:33:35 p.m.,ACTIVO,,1648189,,,7000,21146.66,150220,,,5309.48,609778.36,793454.5
PREFO-CAM-20/21,FEDERAL,MEXICO,Distrito 16-ECATEPEC DE MORELOS,DIPUTACION FEDERAL MR,C,PARTIDO ACCIÓN NACIONAL,PAN,CRISTA AMANDA SPOHN GOTZEL,04/04/2021,02/06/2021,05/04/2021 11:33:35 p.m.,ACTIVO,,1648189,,,13666.66,21146.66,293100.03,,,283709.48,185640,797262.83
PREFO-CAM-20/21,FEDERAL,MEXICO,Distrito 10-ECATEPEC DE MORELOS,DIPUTACION FEDERAL MR,C,PARTIDO ACCIÓN NACIONAL,PAN,MARTIN ALBERTO GARCIA MARQUEZ,04/04/2021,02/06/2021,05/04/2021 11:33:35 p.m.,ACTIVO,,1648189,,,10000,21146.66,277181.19,,,5309.48,394016.04,707653.37
PREFO-CAM-20/21,FEDERAL,QUINTANA ROO,Distrito 4-CANCUN,DIPUTACION FEDERAL MR,COA,VA POR MEXICO,VA POR MEXICO,MARIA DEL CARMEN JOAQUIN HERNANDEZ,04/04/2021,02/06/2021,05/04/2021 11:44:32 p.m.,ACTIVO,,1648189,,,53183.58,3702.89,6750,,194880,56446.79,101901.35,416864.61
PREFO-CAM-20/21,FEDERAL,BAJA CALIFORNIA,Distrito 6-TIJUANA,DIPUTACION FEDERAL MR,COA,VA POR MEXICO,VA POR MEXICO,JACQUELINE NAVA MOUETT,04/04/2021,02/06/2021,05/04/2021 11:44:32 p.m.,ACTIVO,,1648189,,,,3702.89,,,,6447.31,4291.99,14442.19
PREFO-CAM-20/21,FEDERAL,VERACRUZ,Distrito 14-MINATITLAN,DIPUTACION FEDERAL MR,COA,VA POR MEXICO,VA POR MEXICO,FREDY AYALA GONZALEZ,04/04/2021,02/06/2021,05/04/2021 11:44:32 p.m.,ACTIVO,,1648189,,,14099.31,3702.89,33860.4,,27945.46,6447.31,91234,177289.37
PREFO-CAM-20/21,FEDERAL,NAYARIT,Distrito 2-TEPIC,DIPUTACION FEDERAL MR,COA,VA POR MEXICO,VA POR MEXICO,LEOPOLDO DOMINGUEZ GONZALEZ,04/04/2021,02/06/2021,05/04/2021 11:44:32 p.m.,ACTIVO,,1648189,,,,3702.89,74298,,174295.8,6447.31,96880.47,355624.47
PREFO-CAM-20/21,FEDERAL,BAJA CALIFORNIA,Distrito 4-TIJUANA,DIPUTACION FEDERAL MR,COA,VA POR MEXICO,VA POR MEXICO,HORTENSIA HERNANDEZ MENDOZA,04/04/2021,02/06/2021,05/04/2021 11:44:32 p.m.,ACTIVO,,1648189,,365.4,63704.76,3702.89,,,,15295.06,129706.56,212774.67
